Отчет о ключевых словах в поисковой сети
19 февраля 2026 г. - 12 апреля 2026 г.
Статус ключевых слов,Ключевое слово,Тип соответствия,Группа объявлений,Статус,Причины статуса,Конверсии,Код валюты,Стоимость/конв.,Kлики,Показы,CTR,Расходы,Код валюты после конвертации,Оцен. ставка для показа вверху стр.,Расч. ставка для первой стр.,Расч. ставка для первой поз.,Показатель качества,Ожидаемый CTR,Релевантность объявлений,Кач-во целевой страницы,Коэфф. конверсии
Включено,"""заказать разработку сайта компании""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""корпоративный сайт создание""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,7,"0,00%","0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""розробка сайту для бізнесу""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --,3,Ниже среднего,Ниже среднего,Среднее,"0,00%"
Включено,"""разработка коммерческого сайта""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""изготовление корпоративного сайта""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""заказать разработку корпоративного сайта""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""разработка корпоративного сайта""",Фразовое соответствие,Корпоративные сайты,Ограничено,низкое качество,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""корпоративный сайт разработка""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""корпоративный сайт под ключ""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""розробка корпоративного сайту""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""заказать корпоративный сайт под ключ""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""створення корпоративного сайту""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,2,"0,00%","0,00",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
Включено,"""заказать корпоративный сайт""",Фразовое соответствие,Корпоративные сайты,Ограничено,низкое качество,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""корпоративный сайт стоимость разработки""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""создание сайта компании""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,4,"0,00%","0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""разработка web сайта компании""",Фразовое соответствие,Корпоративные сайты,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""разработка лендинга""",Фразовое соответствие,Лендинги,Допущено,,"0,00",UAH,"0,00",1,5,"20,00%","78,97",UAH, --, --, --,6,Выше среднего,Ниже среднего,Среднее,"0,00%"
Включено,"""создание лендинга цена""",Фразовое соответствие,Лендинги,Допущено,,"0,00",UAH,"0,00",5,26,"19,23%","320,48",UAH, --, --, --,8,Выше среднего,Выше среднего,Среднее,"0,00%"
Включено,"""создание лендинг""",Фразовое соответствие,Лендинги,Допущено,,"1,00",UAH,"690,84",16,93,"17,20%","690,84",UAH, --, --, --, --, --, --, --,"6,25%"
Включено,"""лендинг цена""",Фразовое соответствие,Лендинги,Допущено,,"1,00",UAH,"618,33",21,134,"15,67%","618,33",UAH, --, --, --,6,Выше среднего,Среднее,Ниже среднего,"4,76%"
Включено,"""создание landing page""",Фразовое соответствие,Лендинги,Ограничено,низкое качество,"3,00",UAH,"454,43",26,159,"16,35%","1363,29",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"11,54%"
Включено,"""односторінковий сайт ціна""",Фразовое соответствие,Лендинги,Допущено,,"2,00",UAH,"426,04",25,129,"19,38%","852,07",UAH, --, --, --,6,Выше среднего,Среднее,Ниже среднего,"8,00%"
Включено,"""заказать лендинг""",Фразовое соответствие,Лендинги,Допущено,,"0,00",UAH,"0,00",7,72,"9,72%","471,58",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создание одностраничного сайта""",Фразовое соответствие,Лендинги,Допущено,,"2,00",UAH,"1105,94",49,317,"15,46%","2211,88",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"4,08%"
Включено,"""доработка сайта цена""",Фразовое соответствие,Доработка сайтов,Допущено,,"0,00",UAH,"0,00",0,2,"0,00%","0,00",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""доработка веб сайтов""",Фразовое соответствие,Доработка сайтов,Ограничено,низкое качество,"0,00",UAH,"0,00",0,1,"0,00%","0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""доработка сайта""",Фразовое соответствие,Доработка сайтов,Ограничено,низкое качество,"0,00",UAH,"0,00",0,9,"0,00%","0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""доработка интернет сайта""",Фразовое соответствие,Доработка сайтов,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""ведение сайтов""",Фразовое соответствие,Доработка сайтов,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""доработка сайта стоимость""",Фразовое соответствие,Доработка сайтов,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""редизайн сайтов""",Фразовое соответствие,Доработка сайтов,Допущено,,"0,00",UAH,"0,00",3,22,"13,64%","57,10",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
Включено,"""створення інтернет магазину""",Фразовое соответствие,Интернет-магазины,Допущено,,"2,00",UAH,"578,34",23,210,"10,95%","1156,68",UAH, --, --, --,6,Выше среднего,Среднее,Ниже среднего,"8,70%"
Включено,"""створення інтернет магазину ціна""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",0,1,"0,00%","0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""создание интернет магазин под ключ""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""создать интернет магазин""",Фразовое соответствие,Интернет-магазины,Допущено,,"5,00",UAH,"1087,95",92,755,"12,19%","5439,75",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"5,43%"
Включено,"""разработка интернет магазина""",Фразовое соответствие,Интернет-магазины,Ограничено,низкое качество,"0,00",UAH,"0,00",3,16,"18,75%","149,75",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""розробка сайту інтернет магазину""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",0,14,"0,00%","0,00",UAH, --, --, --,6,Выше среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""создать сайт магазин""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",1,15,"6,67%","162,47",UAH, --, --, --,5,Выше среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создание интернет магазинов""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",12,74,"16,22%","490,94",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""создать сайт для интернет магазина""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""розробка інтернет магазину""",Фразовое соответствие,Интернет-магазины,Допущено,,"1,00",UAH,"658,70",11,120,"9,17%","658,70",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"9,09%"
Включено,"""розробка інтернет магазину ціна""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",1,13,"7,69%","36,99",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"0,00%"
Включено,"""создать сайт интернет магазин""",Фразовое соответствие,Интернет-магазины,Ограничено,низкое качество,"0,00",UAH,"0,00",0,1,"0,00%","0,00",UAH, --, --, --,1,Ниже среднего,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""интернет магазин разработка""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""разработка интернет магазинов""",Фразовое соответствие,Интернет-магазины,Допущено,,"0,00",UAH,"0,00",5,64,"7,81%","167,91",UAH, --, --, --,6,Выше среднего,Ниже среднего,Среднее,"0,00%"
Включено,"""заказ создания сайта""",Фразовое соответствие,Общие запросы,Допущено,,"3,00",UAH,"688,01",38,416,"9,13%","2064,03",UAH, --, --, --, --, --, --, --,"7,89%"
Включено,"""створення сайтів ціна""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",0,6,"0,00%","0,00",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создание веб сайта""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",0,5,"0,00%","0,00",UAH, --, --, --,4,Среднее,Среднее,Ниже среднего,"0,00%"
Включено,"""заказать создание сайта под ключ""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",0,0, --,"0,00",UAH, --, --, --, --, --, --, --,"0,00%"
Включено,"""веб студия""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",19,426,"4,46%","392,87",UAH, --, --, --,4,Среднее,Среднее,Ниже среднего,"0,00%"
Включено,"""розробка сайтів""",Фразовое соответствие,Общие запросы,Допущено,,"7,00",UAH,"529,93",69,1 088,"6,34%","3709,54",UAH, --, --, --,7,Выше среднего,Выше среднего,Ниже среднего,"10,14%"
Включено,"""створення сайту під ключ""",Фразовое соответствие,Общие запросы,Допущено,,"5,00",UAH,"366,64",23,104,"22,12%","1833,21",UAH, --, --, --,7,Выше среднего,Выше среднего,Ниже среднего,"21,74%"
Включено,"""розробка сайтів ціна""",Фразовое соответствие,Общие запросы,Допущено,,"1,00",UAH,"143,97",4,33,"12,12%","143,97",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"25,00%"
Включено,"""создание сайта с нуля""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",12,118,"10,17%","701,87",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
Включено,"""создание сайтов под ключ""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",0,1,"0,00%","0,00",UAH, --, --, --,3,Ниже среднего,Выше среднего,Ниже среднего,"0,00%"
Включено,"""розробка сайту ціна""",Фразовое соответствие,Общие запросы,Допущено,,"1,00",UAH,"1619,93",28,258,"10,85%","1619,93",UAH, --, --, --,6,Выше среднего,Среднее,Ниже среднего,"3,57%"
Включено,"""сайты под ключ""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",2,49,"4,08%","136,27",UAH, --, --, --,5,Среднее,Выше среднего,Ниже среднего,"0,00%"
Включено,"""створення гугл сайтів""",Фразовое соответствие,Общие запросы,Ограничено,низкое качество,"0,00",UAH,"0,00",2,41,"4,88%","77,81",UAH, --, --, --,2,Ниже среднего,Среднее,Ниже среднего,"0,00%"
Включено,"""заказать разработку сайта""",Фразовое соответствие,Общие запросы,Допущено,,"0,00",UAH,"0,00",3,25,"12,00%","196,74",UAH, --, --, --,3,Среднее,Ниже среднего,Ниже среднего,"0,00%"
